CSD Number,Province Code,Indicator,Indicator Sort,Children Count,Percent,Value Status
1001557,10,Immigrant Parent(s),4,0,0.0,Reportable
1001557,10,Lone Parent,5,10,6.0606060606060606,Reportable
1001559,10,Below LIM,1,0,0.0,Reportable
1001559,10,Indigenous Identity,2,10,8.0,Reportable
1001559,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001559,10,Immigrant Parent(s),4,0,0.0,Reportable
1001559,10,Lone Parent,5,10,8.0,Reportable
1001565,10,Below LIM,1,,,Suppressed
1001565,10,Indigenous Identity,2,0,0.0,Reportable
1001565,10,Parent(s) Less Than High School,3,0,,Reportable
1001565,10,Immigrant Parent(s),4,0,,Reportable
1001565,10,Lone Parent,5,0,,Reportable
1002001,10,Below LIM,1,,,Suppressed
1002001,10,Indigenous Identity,2,0,0.0,Reportable
1002001,10,Parent(s) Less Than High School,3,0,,Reportable
1002001,10,Immigrant Parent(s),4,0,,Reportable
1002001,10,Lone Parent,5,0,,Reportable
1002002,10,Below LIM,1,0,0.0,Reportable
1002002,10,Indigenous Identity,2,0,0.0,Reportable
1002002,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1002002,10,Immigrant Parent(s),4,0,0.0,Reportable
1002002,10,Lone Parent,5,0,0.0,Reportable
1002005,10,Below LIM,1,0,0.0,Reportable
1002005,10,Indigenous Identity,2,0,0.0,Reportable
1002005,10,Parent(s) Less Than High School,3,10,9.523809523809524,Reportable
1002005,10,Immigrant Parent(s),4,0,0.0,Reportable
1002005,10,Lone Parent,5,40,38.095238095238095,Reportable
1002006,10,Below LIM,1,,,Suppressed
1002006,10,Indigenous Identity,2,0,0.0,Reportable
1002006,10,Parent(s) Less Than High School,3,0,,Reportable
1002006,10,Immigrant Parent(s),4,0,,Reportable
1002006,10,Lone Parent,5,0,,Reportable
1002008,10,Below LIM,1,0,0.0,Reportable
1002008,10,Indigenous Identity,2,0,0.0,Reportable
1002008,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1002008,10,Immigrant Parent(s),4,0,0.0,Reportable
1002008,10,Lone Parent,5,0,0.0,Reportable
1002009,10,Below LIM,1,,,Suppressed
1002009,10,Indigenous Identity,2,,,Suppressed
1002009,10,Parent(s) Less Than High School,3,,,Suppressed
1002009,10,Immigrant Parent(s),4,,,Suppressed
