CSD Number,CSD Name,Province Code,Province Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Population in Census Families,Children Aged 0 to 5,Child Population Band,Child Population Band Sort,Public Denominator Flag,Population Status,Children Status,MIZ Status,Province Status
1002029,"Division No.  2, Subd. J",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1002030,Grand Le Pierre,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,175,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002031,"Division No.  2, Subd. C",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,395,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002033,Rushoon,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,200,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002034,Parkers Cove,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,175,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002036,Terrenceville,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,415,15,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002037,Red Harbour,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,135,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002039,English Harbour East,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,130,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002040,Baine Harbour,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,130,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002041,St. Bernard's-Jacques Fontaine,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,360,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002044,"Division No.  2, Subd. L",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1002048,"Division No.  2, Subd. K",10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,455,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002055,Little Bay East,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,50,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1003001,"Division No.  3, Subd. A",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1003002,Rencontre East,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,95,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1003003,St. Jacques-Coomb's Cove,10,Newfoundland and Labrador,6,Weak MIZ,Weak MIZ,MIZ,545,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1003004,Belleoram,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,295,15,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1003005,Pool's Cove,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,145,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
